id,alias,name,image_url,url,review_count,categories,rating,transactions,price,location,phone,latitude,longitude,address
wGl_DyNxSv8KUtYgiuLhmA,bi-rite-creamery-san-francisco,Bi-Rite Creamery,https://s3-media2.fl.yelpcdn.com/bphoto/iPNJKlOQ7-eyqa4Yv2r2BA/o.jpg,https://www.yelp.com/biz/bi-rite-creamery-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,9502,icecream;bakeries;,4.5,,$,[object Object],+14156265600,37.761591,-122.425717,"3692 18th St,San Francisco, CA 94110"
lJAGnYzku5zSaLnQ_T6_GQ,brendas-french-soul-food-san-francisco,Brenda's French Soul Food,https://s3-media3.fl.yelpcdn.com/bphoto/sNIJnePGDenUOyewsD8tLg/o.jpg,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,10692,french;soulfood;breakfast_brunch;,4,,$$,[object Object],+14153458100,37.7829016035273,-122.419043442957,"652 Polk St,San Francisco, CA 94102"
WavvLdfdP6g8aZTtbBQHTw,gary-danko-san-francisco,Gary Danko,https://s3-media3.fl.yelpcdn.com/bphoto/CAprIoeKQAYV9oUw9xBbmA/o.jpg,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,5426,newamerican;french;wine_bars;,4.5,,$$$$,[object Object],+14157492060,37.80587,-122.42058,"800 N Point St,San Francisco, CA 94109"
ri7UUYmx21AgSpRsf4-9QA,tartine-bakery-and-cafe-san-francisco,Tartine Bakery & Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/6XiycXBqBcgyjZ6QwpyEZw/o.jpg,https://www.yelp.com/biz/tartine-bakery-and-cafe-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,7740,bakeries;cafes;desserts;,4,,$$,[object Object],+14154872600,37.7614250022004,-122.424051321456,"600 Guerrero St,San Francisco, CA 94110"
Xg-FyjVKAN70LO4u4Z1ozg,hog-island-oyster-co-san-francisco,Hog Island Oyster Co,https://s3-media3.fl.yelpcdn.com/bphoto/TW9FgV_Ufqd15t_ARQuz1A/o.jpg,https://www.yelp.com/biz/hog-island-oyster-co-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,5786,seafood;seafoodmarkets;raw_food;,4.5,,$$,[object Object],+14153917117,37.795831,-122.393303,"1 Ferry Bldg,Shop 11,San Francisco, CA 94111"
76smcUUGRvq3k1MVPUXbnA,mitchells-ice-cream-san-francisco,Mitchell's Ice Cream,https://s3-media4.fl.yelpcdn.com/bphoto/-BBzTTMsUwK7ZzoANiHYvg/o.jpg,https://www.yelp.com/biz/mitchells-ice-cream-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3875,icecream;customcakes;,4.5,,$,[object Object],+14156482300,37.7442315,-122.422816,"688 San Jose Ave,San Francisco, CA 94110"
oT08T3Vpn1I7jDmrBBRMTw,house-of-prime-rib-san-francisco,House of Prime Rib,https://s3-media4.fl.yelpcdn.com/bphoto/HLrjaMoAgYSac0vx71YpCA/o.jpg,https://www.yelp.com/biz/house-of-prime-rib-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,6943,tradamerican;steak;wine_bars;,4,,$$$,[object Object],+14158854605,37.79338,-122.4225,"1906 Van Ness Ave,San Francisco, CA 94109"
eYXwVR4mMAjzkJnm5wneHQ,burma-superstar-san-francisco-2,Burma Superstar,https://s3-media2.fl.yelpcdn.com/bphoto/CQljYYJrIWarCxsz02s-7A/o.jpg,https://www.yelp.com/biz/burma-superstar-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,6636,burmese;,4,,$$,[object Object],+14153872147,37.782787322998,-122.462539672852,"309 Clement St,San Francisco, CA 94118"
ZoZjbOYR-apY8XvommlNUA,the-house-san-francisco,The House,https://s3-media2.fl.yelpcdn.com/bphoto/UzrNIkdGTZ1-cXuQDsKUmA/o.jpg,https://www.yelp.com/biz/the-house-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,4679,asianfusion;,4.5,restaurant_reservation,$$$,[object Object],+14159868612,37.79851,-122.40706,"1230 Grant Ave,San Francisco, CA 94133"
PsY5DMHxa5iNX_nX0T-qPA,kokkari-estiatorio-san-francisco,Kokkari Estiatorio,https://s3-media2.fl.yelpcdn.com/bphoto/7StMTfE2srlcIu2opeTb3g/o.jpg,https://www.yelp.com/biz/kokkari-estiatorio-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,4423,greek;mediterranean;,4.5,pickup,$$$,[object Object],+14159810983,37.796996,-122.399661,"200 Jackson St,San Francisco, CA 94111"
M0JTO3oyu6gxh1mfFjU-dA,san-tung-san-francisco-2,San Tung,https://s3-media4.fl.yelpcdn.com/bphoto/LTtoZ25m8FX1UV37asnTCw/o.jpg,https://www.yelp.com/biz/san-tung-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,6647,chinese;chicken_wings;noodles;,4,,$$,[object Object],+14152420828,37.763693,-122.469008,"1031 Irving St,San Francisco, CA 94122"
ttarnopezxmp2ROB1N2PaA,nopa-san-francisco,Nopa,https://s3-media3.fl.yelpcdn.com/bphoto/Li0xXDEM78GMG1xCYgYYaA/o.jpg,https://www.yelp.com/biz/nopa-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,4995,newamerican;modern_european;desserts;,4,,$$$,[object Object],+14158648643,37.77483,-122.43746,"560 Divisadero St,San Francisco, CA 94117"
2XQm-uFcTS7oc8MFP-8olA,b-patisserie-san-francisco-2,B Patisserie,https://s3-media3.fl.yelpcdn.com/bphoto/9FaO-VNIDTfFkstW9quCMA/o.jpg,https://www.yelp.com/biz/b-patisserie-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,2399,bakeries;cakeshop;macarons;,4.5,,$$,[object Object],+14154401700,37.78783,-122.44073,"2821 California St,San Francisco, CA 94115"
SGRmnarrNuVEsAjYdEoA0w,el-farolito-san-francisco-2,El Farolito,https://s3-media1.fl.yelpcdn.com/bphoto/gcC2Uwtu5raP13D3jWYm0Q/o.jpg,https://www.yelp.com/biz/el-farolito-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,4777,mexican;,4,,$,[object Object],+14158247877,37.75265,-122.41812,"2779 Mission St,San Francisco, CA 94110"
f-m7-hyFzkf0HSEeQ2s-9A,fog-harbor-fish-house-san-francisco-2,Fog Harbor Fish House,https://s3-media1.fl.yelpcdn.com/bphoto/Lv7tIRX3Bim9bKqtWifmNg/o.jpg,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,5610,seafood;bars;,4,restaurant_reservation,$$,[object Object],+14154212442,37.809041,-122.410233,"Pier 39,Ste A-202,San Francisco, CA 94133"
gqVl3RprESEqkIPeJH0yOg,zazie-san-francisco,Zazie,https://s3-media4.fl.yelpcdn.com/bphoto/_JBubnL5rMAiU5D0Uos9zQ/o.jpg,https://www.yelp.com/biz/zazie-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,4282,breakfast_brunch;french;,4,restaurant_reservation,$$,[object Object],+14155645332,37.765244,-122.4501138,"941 Cole St,San Francisco, CA 94117"
hqQoVK0vadOX7_4gN1sh3g,saigon-sandwich-san-francisco,Saigon Sandwich,https://s3-media3.fl.yelpcdn.com/bphoto/lE_HHijKAKt08JIeRHVh7w/o.jpg,https://www.yelp.com/biz/saigon-sandwich-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3192,vietnamese;sandwiches;,4.5,,$,[object Object],+14154745698,37.7831519576568,-122.417318022037,"560 Larkin St,San Francisco, CA 94102"
PTFxtXS47ZVRCdZIrEWvGw,golden-boy-pizza-san-francisco,Golden Boy Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/F8OxoXdS51h2VfU9Je2cNQ/o.jpg,https://www.yelp.com/biz/golden-boy-pizza-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3382,pizza;italian;,4.5,,$,[object Object],+14159829738,37.7997956,-122.4080729,"542 Green St,San Francisco, CA 94133"
-DrR38H1Abk0wCyu9XOLug,sweet-maple-san-francisco,Sweet Maple,https://s3-media1.fl.yelpcdn.com/bphoto/LElE7KG2v6y_OR1W05o-1Q/o.jpg,https://www.yelp.com/biz/sweet-maple-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3491,tradamerican;breakfast_brunch;sandwiches;,4,pickup,$$,[object Object],+14156559169,37.785735681426,-122.43507770852,"2101 Sutter St,San Francisco, CA 94115"
KkAVX3Wb7E3lP5F_f_8pXg,liholiho-yacht-club-san-francisco-2,Liholiho Yacht Club,https://s3-media3.fl.yelpcdn.com/bphoto/FK2X98w6z5naJyiQjsGTNA/o.jpg,https://www.yelp.com/biz/liholiho-yacht-club-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,2229,bars;newamerican;seafood;,4.5,restaurant_reservation,$$$,[object Object],+14154405446,37.78818,-122.41458,"871 Sutter St,San Francisco, CA 94109"
